"","Tgfa_parent_baseMean","Tgfa_parent_log2FoldChange","Tgfa_parent_lfcSE","Tgfa_parent_stat","Tgfa_parent_pvalue","Tgfa_parent_padj","Tgfa_mut_baseMean","Tgfa_mut_log2FoldChange","Tgfa_mut_lfcSE","Tgfa_mut_stat","Tgfa_mut_pvalue","Tgfa_mut_padj"
"RNU6-390P",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"RNU6-1276P",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"RNU6-523P",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"PRIM2",274.048306528499,-0.746342247804435,0.104377563116921,-7.15004901355489,8.6746921333329e-13,3.87815581071965e-12,197.24384282613,-0.542475013761122,0.119161314455038,-4.55143810910167,5.32804715510625e-06,2.84390209261868e-05
"RAB23",789.919894699838,0.168191420448652,0.0675414955850171,2.49017687094755,0.0127679537869562,0.0213688919395175,651.285497792212,0.019741547366175,0.0782322380459746,0.252342755323922,0.800776143165916,0.863890652398384
"BAG2",963.611077558611,-1.00599418363865,0.112650284836236,-8.92994341337221,4.26226753556374e-19,2.82566549083508e-18,628.554994219555,-0.927285824134711,0.0935986526474262,-9.90544542730807,3.94209478335533e-23,1.50724787277882e-21
"ZNF451",1668.79853999779,-0.205366559886849,0.0606956061463366,-3.38354396768948,0.000715567490957993,0.00143589323121647,1240.65963583835,0.0863634037374654,0.0591785311071523,1.45936932276426,0.144463484711671,0.234584908868746
"BEND6",20.2292707211996,-2.31048747973804,0.389649724711627,-5.82551444102584,5.69369354647177e-09,1.92929041527176e-08,14.3122226515351,-1.26945946493062,0.346251509252835,-3.6184422853245,0.000296381575916765,0.00112374577784985
"DST",20315.2371824358,0.693673354648135,0.0837066299078503,8.2869474509684,1.16191940770802e-16,6.723023357579e-16,19125.9317489765,0.618260186249235,0.0824854915030406,7.49536392374938,6.61146640817945e-14,1.04088927022892e-12
"CCDC115",767.97527628061,-0.037139687196319,0.0643659342140362,-0.57700977323062,0.563932853417947,0.63010782795745,618.352057453127,-0.167370710353867,0.0732544263441887,-2.28478781751837,0.0223252723407366,0.0495504904750856
"IMP4",1750.57651164084,0.364486625766228,0.0639483703315993,5.699670244252,1.20039395330697e-08,3.94483390896186e-08,1418.78715259918,0.127884083031458,0.0607591489730375,2.10477056725005,0.0353112843823183,0.0730598468142167
"PTPN18",437.88616571163,0.150139126308135,0.113500045262633,1.32279685889165,0.18590294210674,0.243119340573295,365.227664588727,0.196580516427936,0.116264828112669,1.69066629762071,0.0909005546035742,0.160246708115546
"CFC1B",0.4237606967062,-0.102752786163061,0.496930436580545,-0.198276311719436,0.842828884263885,NA,0,NA,NA,NA,NA,NA
"AMER3",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"ARHGEF4",106.792670630611,-0.982505679308775,0.189914657191122,-5.17164135712636,2.32046632479176e-07,6.84064579534703e-07,71.2391008790693,-0.509185601192482,0.204047468271509,-2.49370241710607,0.0126418480934646,0.0305606482620723
"FAM168B",6544.54544424811,-0.170215291339117,0.0324406187628083,-5.24698134839198,1.54611544703151e-07,4.63185253814785e-07,5091.70455761117,-0.000827810545254757,0.0465975537303608,-0.0177648121334606,0.985826476177375,0.991284052538684
"PLEKHB2",10827.4735815372,0.649621591629929,0.0704222288475496,9.22465022478971,2.84487867986021e-20,2.00727680954885e-19,9631.06132030992,0.300565845404306,0.0884164974793373,3.39943518571634,0.000675251818637986,0.00233141540146191
"RNU6-441P",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"HS6ST1",3798.93581755011,0.0976549668868689,0.0598044739263585,1.63290424082117,0.102489138097262,0.142804080538291,3129.64382667411,0.223977716022966,0.0810174158379484,2.7645492677487,0.00570014985382275,0.0153244566832458
"UGGT1",4966.88906015743,-0.0779383238757246,0.0473336647860705,-1.64657214384109,0.099646020029382,0.139300253568023,3620.52162575694,-0.0880768654026551,0.0572029275903607,-1.53972506639957,0.123627384072225,0.206753763944936
"NEURL3",512.543836244946,-1.70405136678534,0.138341562130243,-12.314523150165,7.56610553372831e-35,1.0562929540504e-33,331.942704659535,-1.39533149200652,0.123706512046526,-11.2688304821503,1.87037707143353e-29,1.21355894141324e-27
"ARID5A",373.184701971627,-2.01546072805873,0.173472689874138,-11.6130362454273,3.53824397569788e-31,4.31742803006619e-30,194.001644105101,-1.12652410191879,0.192701014844165,-5.84189102002642,5.16115674529768e-09,4.39269831337432e-08
"KANSL3",4496.87419342557,0.446486740598027,0.0499432812247702,8.93984453723944,3.8971824293154e-19,2.58800620739811e-18,3878.6681543065,0.418671393383857,0.056858287734261,7.36338291558744,1.79307071184295e-13,2.69824737239981e-12
"FER1L5",350.683576430956,0.824943856516564,0.0960924141377645,8.583644743991,9.19135269762407e-18,5.66054578222594e-17,266.349154848817,0.570685008001142,0.0983326830018826,5.80250541137081,6.53312848734508e-09,5.50722889585647e-08
"LMAN2L",1581.3341223638,0.760905902915378,0.0634170117026685,11.9981655718138,3.63258505318356e-33,4.78610618426167e-32,1242.68892569787,0.402899670115801,0.059067882476027,6.82085227516122,9.05019693953204e-12,1.11733403401735e-10
"CNNM4",1177.20208979691,0.586303720776354,0.0898152378965933,6.52774160609447,6.6768752048885e-11,2.62130412096848e-10,1107.61587404363,-0.025313714230131,0.121017549786592,-0.209176570619198,0.834310401786488,0.887423833453434
"CNNM3",1145.17051059181,0.249756890071009,0.0593126836359355,4.21082912448788,2.54435147794771e-05,6.10022358929801e-05,933.812071798117,0.148996744211132,0.0821639736870073,1.81337720815119,0.0697736623944528,0.12885259388468
"ANKRD23",34.6565682226968,-0.164480217875267,0.263988859370627,-0.62309894792853,0.533219501050308,0.601184107664997,30.8091421783876,-0.470209221695499,0.254494703090591,-1.84587181392935,0.0649108201364856,0.121332610954762
